#@RPOL@[ANGLE=] 2
# Note: first line starting with "#@RPOL@" is required for automatic 
# 1-D/2-D interpolation and table format switching (default is 1-D).
# The string in brackets identifies how the row with angle values, y,
# (in degrees) has to start, wavelengths being the leading x column.
#
# Angle-dependent reflectivity for ASTRI mirrors.
# Contributed by Giorgia Sironi, 2018-01-17.
#
# Wavelenght[]  0deg    10deg   20deg   30deg   40deg   50deg   60deg   70deg   80deg
#
ANGLE=     0              10              20              30              40              50              60              70              80
#
# x[i]  z[0][i]         z[1][i]         .... 
#
355     0.9668858       0.9670591       0.967388        0.9673358       0.9660674       0.9623355       0.953867        0.9348871       0.8815606
356     0.966943        0.9671081       0.9674141       0.9673286       0.9660194       0.9622386       0.9537092       0.9346697       0.8817011
357     0.9669954       0.9671523       0.9674359       0.9673175       0.9659679       0.9621386       0.9535494       0.9344574       0.8819155
358     0.9670429       0.967192        0.9674534       0.9673026       0.965913        0.9620354       0.9533877       0.9342504       0.8822017
359     0.9670859       0.9672271       0.9674667       0.9672838       0.9658545       0.9619292       0.9532242       0.9340487       0.8825571
360     0.9671204       0.9672539       0.9674721       0.9672575       0.9657888       0.9618157       0.9530539       0.9338453       0.8829665
361     0.967152        0.967278        0.9674752       0.9672295       0.965722        0.9617019       0.9528849       0.9336506       0.8834332
362     0.9671794       0.967298        0.9674745       0.967198        0.9656519       0.9615851       0.9527143       0.9334611       0.8839588
363     0.9672026       0.9673139       0.9674699       0.9671631       0.9655787       0.9614656       0.952542        0.9332769       0.8845405
364     0.9672217       0.9673258       0.9674617       0.9671247       0.9655023       0.9613432       0.9523682       0.933098        0.885175
365     0.9672313       0.9673284       0.9674444       0.9670775       0.9654171       0.9612118       0.9521853       0.9329143       0.8858416
366     0.9672256       0.9673157       0.9674122       0.9670158       0.9653174       0.9610652       0.9519862       0.9327158       0.8865168
367     0.9672161       0.9672994       0.9673767       0.9669509       0.9652148       0.960916        0.9517856       0.9325227       0.8872356
368     0.967203        0.9672796       0.9673378       0.9668829       0.9651092       0.960764        0.9515836       0.9323349       0.887995
369     0.9671863       0.9672563       0.9672955       0.9668118       0.9650006       0.9606094       0.9513801       0.9321525       0.8887917
370     0.9671661       0.9672295       0.96725         0.9667377       0.9648892       0.9604522       0.9511752       0.9319754       0.8896228
371     0.9671421       0.967199        0.967201        0.9666603       0.9647747       0.9602922       0.9509685       0.9318013       0.890469
372     0.9671142       0.9671647       0.9671484       0.9665794       0.964657        0.960129        0.9507597       0.9316313       0.8913416
373     0.9670831       0.9671272       0.9670928       0.9664957       0.9645364       0.9599634       0.9505497       0.9314666       0.8922394
374     0.9670487       0.9670865       0.9670341       0.9664091       0.9644132       0.9597952       0.9503384       0.9313071       0.8931597
375     0.9670112       0.9670427       0.9669724       0.9663196       0.9642871       0.9596245       0.9501258       0.9311527       0.8940998
376     0.9669717       0.9669971       0.966909        0.9662287       0.9641599       0.9594533       0.9499145       0.9310068       0.8950608
377     0.9669343       0.9669534       0.9668477       0.9661399       0.9640351       0.959285        0.9497086       0.9308752       0.8960562
378     0.9668937       0.9669068       0.9667835       0.9660483       0.9639075       0.9591143       0.9495015       0.9307488       0.897064
379     0.9668501       0.9668571       0.9667164       0.965954        0.9637773       0.9589413       0.9492934       0.9306274       0.8980819
380     0.9668035       0.9668045       0.9666464       0.9658569       0.9636445       0.9587658       0.9490842       0.9305109       0.8991079
381     0.9667576       0.9667526       0.9665774       0.9657611       0.9635134       0.9585927       0.9488793       0.9304042       0.9001323
382     0.9667079       0.966697        0.9665047       0.9656617       0.9633787       0.9584163       0.9486721       0.9303004       0.9011584
383     0.9666545       0.9666377       0.9664285       0.9655589       0.9632406       0.9582366       0.9484627       0.9301997       0.9021846
384     0.9665984       0.9665757       0.9663497       0.9654535       0.9630999       0.9580545       0.9482524       0.9301037       0.9032116
385     0.9665394       0.966511        0.9662682       0.9653455       0.9629568       0.9578702       0.9480411       0.9300121       0.9042378
386     0.9664777       0.9664435       0.966184        0.9652349       0.9628111       0.9576836       0.9478288       0.9299251       0.9052617
387     0.9664133       0.9663734       0.9660972       0.9651217       0.9626629       0.9574948       0.9476157       0.9298424       0.9062822
388     0.9663416       0.966296        0.9660033       0.9650015       0.9625074       0.9572984       0.9473953       0.9297553       0.9072834
389     0.9662636       0.9662123       0.9659031       0.964875        0.9623456       0.9570955       0.9471688       0.9296653       0.9082673
390     0.966183        0.9661261       0.9658004       0.964746        0.9621813       0.9568903       0.9469415       0.9295794       0.909245
391     0.9661033       0.9660408       0.9656989       0.9646183       0.9620187       0.9566876       0.9467183       0.9295013       0.9102078
392     0.966021        0.965953        0.9655948       0.9644883       0.9618538       0.9564827       0.9464944       0.9294271       0.9111626
393     0.9659363       0.9658627       0.9654883       0.9643558       0.9616864       0.9562757       0.9462696       0.9293567       0.9121087
394     0.9658475       0.9657684       0.9653779       0.9642193       0.961515        0.9560647       0.9460419       0.9292871       0.9130416
395     0.9657542       0.9656696       0.9652629       0.9640783       0.9613389       0.9558488       0.9458101       0.9292168       0.9139586
396     0.9656583       0.9655682       0.9651454       0.9639348       0.9611603       0.9556308       0.9455775       0.9291501       0.9148655
397     0.9655601       0.9654645       0.9650256       0.9637889       0.9609793       0.9554106       0.9453442       0.9290869       0.9157618
398     0.9654594       0.9653583       0.9649033       0.9636406       0.960796        0.9551883       0.9451101       0.929027        0.9166471
399     0.9653563       0.9652498       0.9647787       0.9634899       0.9606102       0.9549638       0.9448753       0.9289704       0.9175209
400     0.9652506       0.9651386       0.9646514       0.9633366       0.9604218       0.9547369       0.9446393       0.9289165       0.9183826
401     0.9651417       0.9650243       0.9645213       0.9631805       0.9602309       0.9545077       0.9444018       0.9288608       0.9192122
